name,title
Dr. E. Armand Bedrossian,Oral and Maxillofacial Surgeon
Dr. Ed McLaren,Ceramic Technology
Dr. Ed R. Kusek,"DDS, FAAID, DABOI/ID, Past President AAID"
Dr. Edgard El Chaar,Implant Dentist
Dr. Edmond Bedrossian,Oral and Maxillofacial Surgeon
Dr. Eduardo Lorenzana,Board-Certified Periodontist & ITI Section Chair
Dr. Effie Ioannidou,Periodontal Research
Dr. Emily Letran,"Chief Executive Officer, Atlantic Children and Family Dental Group; Chief Executive Officer, Sea Breeze Dental"
Dr. Eric C. Baker,Practice Growth
Dr. Eric Caron,Prosthodontist
Dr. Eric Van Dooren,DDS
Dr. Eva Boldridge,Prosthodontist
Dr. Fadi Hasan,"DDS, MSD"
Dr. Faisal A. Quereshy,Oral Surgery Education Expert
Dr. Flavia Q. Pirih,Periodontal Research
Dr. Frank A. Scannapieco,"DMD, PhD"
Dr. Frank Caputo,"DDS, AAID Diplomate"
Dr. Frank M. Spear,"DDS, MSD"
Dr. Frank Schwarz,"DDS, MSD, PhD"
Dr. Frank Tuminelli,Prosthodontist
Dr. Galip Gurel,"DDS, MSc"
Dr. Geith Kallas,"Founder, Smile Makers Dental Center"
Dr. George Arvanitis,"DDS, DABOI, Honored Fellow AAID"
Dr. George Tysowsky,Dental Technology Economist
Dr. Georgios A. Kotsakis,Periodontal Research
Dr. Georgios E. Romanos,"DDS, PhD, Prof Dr med dent"
Dr. Gerard J. Chiche,DDS
Dr. German Gallucci,"Department Chair, Department of Restorative Dentistry and Biomaterials Sciences, Harvard School of Dental Medicine. Fellow of ITI, Editorial Board member of JDR, COIR, and IJOMI."
Dr. German O. Gallucci,"Professor and Chair, Harvard School of Dental Medicine"
Dr. Ghida Lawand,AI and Digital Dentistry Expert
Dr. Giacomo Fabbri,Prosthodontist
Dr. Gian Pietro Schincaglia,"DDS, PhD"
Dr. Gilbert A. Fru,Clinical Periodontics
Dr. Giorgio Tabanella,"DDS, MS"
Dr. Giovanni Zucchelli,"DDS, PhD"
Dr. Guillermo Chacon,Digital Treatment
Dr. Gustavo Avila Ortiz,Periodontal Regeneration
Dr. Gustavo Giordani,DDS
Dr. Hamilton M. Sporborg,"DDS, FAAID, DABOI/ID"
Dr. Hatice Hasturk,"DDS, PhD"
Dr. Heather Conrad,Prosthodontist
Dr. Henry A. Foerster,Clinical Periodontics
Dr. Hesham Nouh,"DSc, Clinical Professor"
Dr. Hiroshi Hirata,Anesthesiologist & Sedation Specialist
Dr. Hisham Barakat,"Chief Clinical Officer, Guardian Dentistry Partners"
Dr. Hom-Lay Wang,"DDS, MSD, PhD"
Dr. Homa H. Zadeh,"DDS, PhD"
Dr. Hongseok An,Digital Dentistry Specialist
Dr. Howard Gluckman,"BDS, MChD, PhD"
Dr. Hsun-Liang Chan,"DDS, MS"
Dr. Hussam Batal,"DMD, Clinical Professor"
Dr. Ihab Hanna,"DDS, FAAID-DABOI, DICOI"
Dr. Irina F. F. Dragan,"DDS, DMD, MS, eMBA"
Dr. Isabella Rocchietta,"DDS, MSc"
Dr. Issa Hanna,Cleft and Craniofacial Surgery Specialist
Dr. Istvan Urban,"DMD, MD, PhD"
Dr. Iñaki Gamborena,Prosthodontist
Dr. JB White,"DDS, AAID Member"
Dr. Jack G. Caton,"DDS, MS"
Dr. Jaideep R. Deshpande,"MBA, Executive Director, Strategy and Marketing"
Dr. James Anderson,Department Chair
Dr. James Fetsch,Fellow Academy of General Dentistry - Implant Specialist
Dr. James L. Rutkowski,Sedation
Dr. James Mah,"Dean & Professor, UNLV School of Dental Medicine"
Dr. James Nager,"DMD, Associate Fellow AAID"
Dr. James W. Willis,"Chief Executive Officer, Willis & Associates Family Dentistry"
Dr. Janice Wang,"DDS, ABOI/ID Diplomate, AAID Fellow"
Dr. Jason Genta,"DDS, MBA, Vice President Clinical Affairs"
Dr. Jason Kim,"DDS, AAID Fellow, ABOI/ID Diplomate"
Dr. Jasper Thoolen,Digital Dentistry & Clear Aligner Specialist
Dr. Jay C. Platt,Practice Growth
Dr. Jay M. Neugarten,Virtual Surgical Planning Expert
Dr. Jeff Briney,Comprehensive Dentistry & Laser Specialist
Dr. Jeff Rouse,DDS
Dr. Jeffrey A. Rossmann,Periodontology
Dr. Jeffrey B. Carter,"Founder and Chief Medical Officer, US Dental Surgery Network"
Dr. Jeffrey McClendon,DMD
Dr. Jennifer Bain,Periodontology
Dr. Jennifer H. Doobrow,DMD
Dr. Jim Janakievski,"DDS, MSD"
Dr. Jimmie L. Harper Jr.,Anesthesia Training
Dr. Jin Y. Kim,Saving Teeth
Dr. Joan Otomo Corgel,"DDS, MPH"
